THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
663,810,762,13244,-3064,7992,14
639,826,772,-4728,-14840,4296,6
658,774,740,14800,-5664,5184,16
640,747,715,8372,-2068,14068,10
663,734,704,6924,-4520,13944,1
639,753,718,14488,-7760,4324,10
640,806,778,13856,-1504,9888,20
660,748,717,16532,-824,2840,25
640,715,706,16076,2944,4872,21
657,786,740,3752,3808,-16852,2
664,868,823,14248,-3576,8080,19
663,816,787,16036,-1284,4396,15
654,722,690,5232,14880,5420,5
641,785,741,15116,-5172,3812,9
657,743,707,10020,-1760,12748,12
657,786,747,10424,-7492,9364,16
640,782,739,14796,-2144,8044,9
661,738,702,10868,9220,8580,1
643,756,768,3240,5148,-16676,18
662,815,793,14952,372,5372,15
642,796,785,1756,5532,-17704,17
652,804,772,14376,256,8764,26
667,771,747,14724,-1928,7784,7
658,771,754,14880,-2808,5268,24
642,717,705,13876,-2528,7804,21
642,776,769,11184,-11028,8036,22
657,770,754,10500,-8860,8172,24
657,798,749,1888,6056,-16664,2
650,799,825,10704,1824,12464,22
657,795,761,1040,11188,-13092,2
640,837,780,-2164,-14952,6444,6
663,772,753,15956,-616,5664,7
658,767,752,13772,-7236,5000,24
643,757,773,12456,3780,-12852,18
655,721,690,7556,14788,2788,5
639,753,715,14824,-6456,5284,10
641,786,769,6612,11000,9908,22
664,800,750,13732,-9948,2020,14
639,754,717,15932,-884,5568,10
667,871,789,15916,2028,5560,11
657,746,710,9876,-9520,8820,12
643,806,762,13704,-1324,8748,22
662,734,701,15344,-3424,6160,1
648,812,715,13540,164,9964,22
638,854,795,13812,-5416,7816,13
640,784,741,15272,-5096,3848,9
664,866,825,14268,-1096,7792,19
664,815,790,15340,880,7044,15
660,750,732,7684,-11716,8712,25
639,753,715,15460,-2500,6316,10
640,718,707,15472,2172,6392,21
660,787,752,7472,-14780,896,14
660,749,714,5380,-14808,3960,12
641,811,784,8528,-9464,10208,20
641,776,774,11044,10688,6356,22
639,827,773,-1628,-14140,6500,6
640,837,780,-2624,-14944,6480,6
642,785,771,10692,-10032,7916,23
656,741,707,15496,-652,5880,12
667,861,822,15876,-2396,5940,8
640,783,739,15560,-5512,16,9
639,838,782,584,-15612,5532,6
668,861,827,15732,-2712,2976,8
640,805,776,14080,-4908,7008,20
640,782,736,14588,884,8252,9
638,853,795,-2584,-12776,7872,13
638,846,795,11040,-1440,12452,13
660,749,718,16196,2604,3724,25
644,843,784,5392,2080,14772,3
639,753,718,11016,-5764,10528,10
641,718,708,15372,1212,6076,21
661,753,732,15584,-4264,-2300,25
640,716,705,15260,-928,5792,21
664,815,787,16528,3752,476,15
667,864,818,12772,-2432,9708,8
657,787,740,3680,6440,-16184,2
654,720,688,6876,1624,14316,5
638,847,799,12728,592,10572,13
664,814,785,16708,1372,2116,15
640,783,739,13876,-5284,6560,9
640,720,711,14656,1480,7168,21
647,785,745,13260,-376,9580,4
640,842,784,-3936,-14184,6688,6
640,806,757,13644,-1208,9076,9
642,757,722,14624,-688,7672,23
667,859,830,15540,-4464,4400,8
641,816,792,12760,-10924,1016,20
662,735,703,6044,-1432,14748,1
645,845,787,4244,872,15320,3
643,805,759,9404,-9152,10272,22
649,794,686,14104,-2168,8444,22
641,814,788,14168,-3228,7020,20
640,786,775,10548,-8868,8544,23
659,765,730,16132,-2232,4536,24
667,861,824,15380,-2300,5808,8
653,721,688,6228,7392,13152,5
657,773,755,12720,-744,9452,24
649,799,697,12384,2136,9840,22
655,798,747,4892,6880,-15476,2
658,772,755,12924,-8676,5056,24
643,809,784,11248,-4708,9952,20
642,764,728,15412,-6048,488,23
662,753,737,9996,2524,12344,25
640,809,761,15632,-3584,3484,9
665,871,824,15296,-3568,3228,19
640,782,738,16544,-1136,3224,9
643,808,764,15128,-2088,5668,22
643,713,709,15244,2216,6116,21
647,781,747,11768,-380,12500,4
658,797,748,2532,5372,-16620,2
661,749,718,13340,-6280,4252,25
663,816,789,16304,-964,1836,15
660,748,717,15056,-4640,5164,25
658,744,707,11020,-3100,11240,12
639,828,774,-1568,-14304,6328,6
639,848,800,12064,-3788,10804,13
660,750,731,15060,3288,5324,25
645,814,782,15752,2572,5704,26
660,750,718,15500,-1804,5848,25
657,786,741,4056,3904,-17976,2
665,767,743,14424,-3092,7756,7
640,785,741,15876,-1696,4676,9
665,865,895,12400,-5392,9752,11
644,842,786,12920,-3236,9568,3
647,783,739,7676,-9740,12004,4
640,786,775,10192,-6928,9564,23
665,772,745,13276,-3008,9364,7
660,765,743,6456,13540,6132,25
640,806,759,15500,-408,5260,9
640,747,716,10600,2508,11536,10
661,807,749,8452,-9140,10876,14
661,749,718,15824,1248,5036,25
645,845,788,7640,-464,14208,3
656,793,746,4812,3564,-16448,2
642,786,778,7624,-7140,12800,23
642,796,786,-6804,6936,-14040,17
640,785,775,10244,-9368,9072,23
657,772,756,12376,-8148,7304,24
649,811,805,12808,136,9568,22
664,772,752,12536,-7644,6456,7
656,782,758,-1032,-15780,4504,16
656,741,706,14992,-3664,7940,12
644,808,762,16340,-2044,4864,22
657,796,745,224,11496,-14320,2
657,772,755,8916,-2732,13052,24
639,842,784,-3232,-14644,7208,6
660,753,735,9408,9920,9060,25
642,786,772,15888,-1476,5480,23
664,814,789,15524,3024,4764,15
657,788,742,3540,5332,-16456,2
655,723,691,6256,14084,4816,5
657,771,755,11728,-2696,11460,24
639,753,714,15372,-2356,5812,10
666,864,819,14948,-5824,4624,8
658,744,710,13936,-868,8440,12
640,781,738,14888,-1164,7332,9
642,803,758,14256,-2564,7852,22
664,732,701,13960,1220,8960,1
645,842,783,5788,3408,14524,3
668,864,817,15240,-1944,6484,8
657,744,711,6052,-3596,14828,12
649,798,716,13860,-1268,8900,22
639,806,781,14668,-5896,5020,20
656,786,740,3920,2488,-16644,2
659,748,713,4784,-3296,15312,12
661,751,733,15760,-5068,2500,25
654,721,686,7828,14540,112,5
639,808,764,14980,-7108,2352,20
639,808,764,14972,-7168,2344,20
647,797,758,14816,-1628,7880,22
640,782,738,14836,-5756,4616,9
644,758,723,14764,-184,7760,23
656,783,747,13712,-2124,8528,16
640,782,740,16124,-1864,4676,9
659,769,732,15116,2000,5944,24
643,757,773,11592,2476,-13448,18
663,816,788,16616,-2748,2316,15
657,784,751,4772,-15396,3536,16
639,709,702,16136,-536,3892,21
645,846,788,13184,-2884,9736,3
667,860,834,14700,540,6896,8
647,785,745,10912,288,12040,4
666,864,819,10132,-5664,11144,11
650,803,817,13852,-292,9548,22
640,717,707,14940,2268,6116,21
640,781,738,14516,-20,7428,9
661,750,736,15520,4568,4748,25
639,754,724,3084,-1356,15368,10
640,754,726,7120,-5060,13280,10
639,710,702,16176,616,4276,21
658,771,755,13220,-4052,9168,24
643,812,766,14820,-340,7568,22
657,784,751,7824,-13472,4348,16
644,759,724,14444,-220,7800,23
665,866,828,14856,-1652,7268,19
641,810,780,14612,5920,3936,20
642,798,755,15552,-1540,5532,22
664,866,827,12192,-3096,10372,19
640,810,781,10508,-8036,9444,20
666,774,747,14780,-4512,5716,7
639,852,793,376,3788,15556,13
654,713,682,4064,13912,5064,5
653,717,683,2080,15608,4644,5
638,807,779,16196,1876,4260,20
642,793,783,5748,-356,-16888,17
642,778,765,12100,-2580,9624,23
641,814,790,10820,-9044,8288,20
639,754,715,14376,4008,7020,10
640,784,739,17280,-664,1672,9
642,779,775,7424,14852,2900,22
656,738,703,15880,-4092,5048,12
662,734,702,15176,-2904,6388,1
641,786,770,14952,-5756,4920,23
665,866,825,15304,-4284,5156,19
640,806,780,13960,3284,7908,20
662,737,704,7392,-2328,14072,1
662,810,764,5984,-14672,3916,14
660,752,734,14428,-1152,8496,25
642,796,789,3836,628,-17796,17
665,771,750,15320,-2268,7364,7
654,721,687,7784,14768,364,5
648,781,743,13492,-940,9096,4
664,866,823,14824,-3272,6520,19
657,867,803,4656,4188,-16496,2
664,771,744,14820,-3568,4632,7
664,865,823,14208,-2268,8512,19
654,721,703,6288,13376,5492,5
639,837,781,-1952,-16056,4348,6
664,771,745,13792,3096,6628,7
641,813,786,15976,-1328,3432,20
652,802,770,14776,884,7604,26
648,791,666,13788,228,8464,22
661,755,736,17020,-3508,4456,25
639,838,783,-1032,-14204,7528,6
662,734,688,5804,-1388,14240,1
661,738,704,9192,11140,7484,1
662,817,789,15060,-3168,6236,15
639,849,800,13048,-6936,7180,13
664,865,821,14964,-3136,6712,19
660,787,752,7768,-14808,320,14
648,780,744,14300,-1232,8084,4
642,779,775,3960,16420,3748,22
648,781,743,12884,-752,10284,4
642,720,713,14648,968,7380,21
665,813,786,16364,-2228,3440,15
644,841,786,12232,-1108,10920,3
644,759,771,6924,3688,-16276,18
657,742,707,15556,-532,6104,12
642,777,766,13024,-3416,9244,23
661,809,767,14324,-2952,7180,14
639,750,719,14696,-3156,7000,10
639,826,771,28,-16116,4836,6
639,754,723,3516,-2900,15148,10
664,814,786,14208,1624,9068,15
661,749,718,13784,-368,8888,25
642,802,759,14480,-2804,8000,22
640,807,786,13988,-3892,9680,20
661,814,769,7596,-14168,4040,14
639,852,797,14640,-6544,5388,13
664,771,745,14436,-6492,5220,7
659,749,713,11532,2328,10372,12
639,846,796,13940,80,9484,13
644,757,771,4784,-1000,-17380,18
669,864,816,15148,-2704,7080,8
661,809,764,7844,-10012,9608,14
642,717,712,15432,1692,6296,21
642,796,783,-1532,7084,-16080,17
664,866,830,11900,-5736,9520,19
641,723,713,16188,1204,4112,21
638,741,715,15328,-1956,6704,10
639,826,772,-4412,-14280,4656,6
652,816,784,15356,3604,5772,26
661,803,763,7336,-12772,6588,14
644,842,786,13100,-3584,9912,3
671,732,702,13284,1300,8720,1
644,847,789,15704,-2076,5876,3
662,817,793,15412,-2852,6088,15
639,854,796,7684,-9448,10732,13
655,721,690,6828,14800,2552,5
668,859,821,14268,-1936,8124,8
662,815,792,15848,-1328,5716,15
658,745,710,6048,-3572,14640,12
641,811,786,11000,-11100,6424,20
641,719,709,15104,-2188,6852,21
654,721,687,5244,15184,1744,5
640,745,712,14692,-1388,7356,10
661,749,734,10344,10892,6824,25
664,865,824,14848,-2960,6860,19
666,800,751,14604,-7320,3284,14
639,836,781,-444,-14312,7488,6
661,803,763,7528,-13132,6276,14
638,846,796,10404,-4312,12560,13
657,783,750,13076,248,10304,16
661,737,706,2312,-3200,14716,1
650,801,844,10280,-1304,12872,22
642,790,779,3836,1016,-17324,17
665,867,827,11576,-3512,10880,19
641,758,723,14632,-648,7480,23
667,861,824,15532,-2204,6560,8
647,787,753,14076,336,8672,4
657,741,707,15560,-1448,5660,12
655,722,688,11784,6368,9188,5
668,861,817,15660,-660,5960,8
640,745,713,13904,-300,8216,10
641,775,770,7432,-12252,7552,22
665,772,745,16112,-1760,3380,7
640,806,758,16020,-1232,3172,9
642,717,706,14896,-1100,7864,21
647,818,785,14296,-3236,7700,26
670,863,814,14560,-4728,5476,8
644,846,787,13532,-3172,9072,3
663,772,749,13708,-5464,7688,7
644,757,772,5580,2360,-17340,18
658,765,751,15180,-6844,240,24
640,783,739,13604,3296,8872,9
664,865,827,15184,-1636,6012,19
658,743,711,13908,-296,8780,12
642,790,772,6548,7220,-14976,17
662,737,705,14724,-4956,6448,1
662,817,793,15820,560,5856,15
669,733,702,15088,-692,6504,1
666,859,821,15004,-4612,4896,8
656,793,744,-928,13800,-9804,2
660,748,713,14316,400,8096,12
664,797,761,11368,-6352,9392,14
657,745,707,6480,-1120,13228,12
660,809,754,7076,7080,12788,14
648,781,747,12660,-2204,10056,4
656,788,743,4472,4628,-16392,2
640,786,776,12336,-6892,9012,23
653,804,774,15460,-84,7024,26
640,808,780,15224,-536,6252,20
644,845,780,15220,1580,8072,3
664,798,762,12160,-5920,9076,14
641,784,741,15136,-5008,4084,9
662,762,726,16436,-3988,2116,24
663,866,823,14012,-2092,8584,19
663,814,787,16636,1080,3404,15
655,718,684,3104,-1020,15712,5
645,758,772,7064,3472,-16108,18
640,751,721,14968,-508,7292,10
643,818,766,14608,-2420,7424,22
657,858,797,4324,4408,-16880,2
657,743,707,12792,-3388,9632,12
640,835,779,-5776,-13816,6088,6
666,859,820,15596,-2228,5024,8
638,853,800,4928,-4908,14692,13
660,749,715,15988,424,1480,12
642,816,789,13816,-9292,116,20
642,797,784,1180,3928,-17236,17
640,809,758,14472,-1536,7400,9
661,818,791,16944,-1956,1776,15
648,819,786,14140,-2604,8360,26
640,791,774,14472,-2720,7660,22
649,782,747,14268,-2348,8124,4
640,807,781,14264,624,7832,20
660,765,729,13756,-1012,9060,24
663,817,789,15544,-184,6200,15
663,739,706,15368,-3568,5144,1
640,807,761,16068,-3172,3528,20
669,861,817,16260,276,4492,8
667,870,866,15440,1864,5948,11
653,722,688,6312,1112,14768,5
662,817,778,16072,400,4464,15
644,845,788,14716,2108,6500,3
662,737,705,15916,-820,5136,1
665,770,745,13492,1240,8852,7
640,837,779,-1540,-14380,6688,6
639,753,725,6660,-984,15136,10
638,854,796,7656,-6472,12632,13
642,717,705,15300,120,6492,21
644,842,786,12724,564,10196,3
663,816,788,15872,-1840,3904,15
640,836,781,-2320,-13124,8036,6
638,853,798,608,-15320,6316,13
640,747,716,15060,-1264,7156,10
659,744,710,14820,-5276,5336,12
639,831,772,-3300,-14380,6412,6
664,815,796,13804,1380,9080,15
655,740,705,13692,156,8916,12
642,813,783,15312,-2220,5728,20
660,749,718,13740,304,8736,25
659,764,750,9664,1964,12424,25
652,808,775,14032,-2632,8104,26
644,755,766,5744,6504,-15488,18
656,742,705,14472,-2908,7108,12
639,754,715,15400,-5176,4764,10
640,808,781,14516,-1608,7216,20
642,793,782,-9716,6792,-12736,17
640,718,707,15552,228,5956,21
641,719,712,14784,1992,7304,21
639,751,722,4996,-11900,10688,10
640,806,761,16680,20,2220,20
642,797,787,5132,232,-17128,17
640,717,707,15344,368,6464,21
639,848,800,15288,-3440,5904,13
640,836,780,-5068,-14412,4284,6
638,742,716,14900,-2772,6412,10
663,817,789,16168,-504,3116,15
640,803,760,16224,-1224,3316,20
662,734,699,1456,-4404,15048,1
647,786,752,15592,-1596,6216,4
639,837,780,-1772,-14168,7860,6
664,866,829,12692,-5612,8824,19
657,773,756,13304,-3748,9776,24
639,847,796,10536,-3040,11652,13
637,848,799,7164,-4492,13776,13
648,816,710,13272,96,9976,22
639,754,723,2920,-2164,15812,10
640,789,782,10924,-7040,8368,22
640,754,723,4916,-3084,15304,10
644,850,793,16148,-1820,4060,3
641,813,786,14556,-8192,1896,20
654,819,787,13904,-1476,8888,26
658,748,712,14252,-4848,6648,12
664,814,785,12940,776,10184,15
640,783,767,13552,-3820,8228,23
662,817,793,16468,-2396,3924,15
648,782,746,14108,-720,8344,4
644,755,772,12064,4012,-12664,18
643,778,679,11672,1360,11248,9
642,718,711,13508,3548,8968,21
639,837,781,-1792,-15116,4688,6
638,853,795,1140,-10772,10784,13
641,811,784,13436,2372,7764,20
647,782,739,15464,1584,5980,4
662,738,705,14320,-1272,8208,1
648,785,745,9228,-1512,13068,4
645,847,787,3996,-4392,14824,3
663,817,788,14816,1156,4604,15
642,790,778,3700,2080,-17616,17
664,814,791,15680,1480,4924,15
639,843,784,-2652,-14368,6416,6
668,864,823,16004,1912,4464,8
662,738,707,13832,748,9112,1
658,784,749,11660,-9000,7040,16
658,773,755,9884,-3660,12468,24
639,846,786,-5528,-13260,7356,6
642,790,772,6396,7156,-14912,17
644,838,782,15488,-5160,4024,3
651,806,774,15284,1704,6064,26
663,772,748,15308,-3532,7132,7
641,786,762,13104,-5444,8108,22
665,869,830,15524,-5088,3928,19
642,785,771,15380,-1648,5716,23
643,764,728,15332,-6224,2528,23
663,866,822,15212,-980,7084,19
659,786,751,15528,-3644,4996,14
658,743,709,13496,-188,8648,12
649,796,729,13972,-3084,8292,22
661,815,779,16440,-1588,2628,15
655,794,748,14520,-3868,7204,2
639,753,715,14080,-5244,6772,10
642,757,722,14028,4004,7880,23
660,807,745,7160,-7436,12372,14
661,763,727,15044,-5776,3092,24
639,848,797,15680,-2508,5156,13
666,865,816,15996,-840,4136,8
666,866,884,13152,4512,8528,11
667,858,821,15348,-1204,5476,8
661,807,748,6576,-308,13472,14
