THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
663,734,700,5100,-1556,15096,1
663,734,700,5428,-2344,15288,1
663,734,700,5200,-2152,14444,1
663,734,701,5164,-2228,15416,1
662,734,701,4960,-2304,14732,1
662,734,703,5172,-2416,15712,1
662,734,703,5060,-1944,14584,1
663,734,703,4860,-2120,14912,1
663,734,703,5492,-1020,14644,1
662,735,703,6044,-1432,14748,1
662,735,702,7304,-2648,14628,1
662,735,703,7928,-3588,13636,1
662,740,705,7784,-3908,13612,1
662,751,713,7408,-2620,13932,1
662,749,714,7860,-3108,13444,1
662,748,713,8220,-3472,13156,1
662,747,712,8260,-3616,13516,1
662,746,712,7876,-4036,14136,1
662,745,711,7648,-4376,13340,1
662,745,711,7572,-4520,13600,1
666,745,711,7084,-4216,12596,1
664,745,711,7632,-5520,13604,1
662,745,710,7704,-4752,13592,1
662,744,710,7600,-4352,13036,1
662,744,709,7628,-4148,13488,1
663,744,709,8072,-4388,13704,1
662,743,709,7692,-3748,13348,1
662,743,708,8284,-4196,13444,1
662,743,708,8204,-3024,12760,1
662,741,708,9772,-1156,12604,1
662,741,708,10860,392,11320,1
663,741,708,12084,1392,10040,1
662,741,707,12464,204,9744,1
663,741,707,13388,1304,10392,1
663,741,707,14076,2720,7696,1
662,741,706,15304,1316,7636,1
662,741,707,15664,1332,4952,1
662,740,707,16664,812,2064,1
663,740,707,16756,528,1948,1
663,741,707,16668,-636,2292,1
662,741,708,16476,-500,1696,1
662,741,708,16860,-1832,2676,1
662,741,707,16300,-1204,2108,1
662,740,708,16444,-2204,2916,1
662,741,708,16212,-2240,2896,1
663,741,708,16256,-3104,3632,1
663,741,708,16068,-3400,3856,1
662,741,707,15832,-3616,4008,1
662,741,707,16152,-4096,4232,1
663,741,707,15564,-4024,3852,1
663,741,708,15480,-4352,3936,1
663,741,708,15636,-4224,3816,1
662,741,707,15616,-3060,3620,1
663,741,706,16148,-2532,3460,1
662,741,706,16596,-1584,3256,1
662,740,707,16684,-1172,2544,1
662,740,706,16324,-1260,3980,1
662,740,706,15928,-1460,3452,1
662,739,706,15920,-1088,4008,1
663,739,706,15720,-2400,4816,1
663,739,706,15368,-3568,5144,1
663,739,706,14748,-4800,5292,1
663,739,707,14388,-6348,6308,1
662,739,707,14444,-6612,6348,1
663,739,707,14460,-6496,5776,1
663,739,707,15556,-3920,4668,1
662,739,706,15760,-3440,4704,1
663,739,704,15504,-3464,4948,1
662,739,705,15580,-2900,5476,1
663,739,705,15320,-1992,4980,1
663,739,706,15824,-2132,5544,1
662,739,707,15560,-1820,5672,1
663,739,707,15028,-1412,6156,1
662,739,707,15276,-1960,5908,1
662,739,707,15144,-488,5100,1
663,739,707,15624,-748,5708,1
663,739,707,16128,-1068,6124,1
662,739,707,15436,408,5504,1
662,739,707,15504,-136,6096,1
663,739,707,15444,132,6096,1
662,739,707,15484,484,5972,1
662,739,707,15272,1140,5664,1
662,739,707,15360,608,5728,1
662,739,707,15228,32,6316,1
662,739,707,15456,-732,6936,1
662,739,707,14972,-556,6404,1
662,739,707,15044,-980,6860,1
662,739,707,14904,-372,6356,1
662,739,707,14848,-1084,7220,1
662,739,707,14720,16,6984,1
662,739,707,14892,-1420,7500,1
662,739,707,14932,-1160,7444,1
662,739,707,14744,-408,7660,1
662,739,707,13904,-440,6912,1
662,739,705,14312,-748,8328,1
662,739,706,13904,-1132,9336,1
662,739,705,13924,-680,9520,1
662,739,705,13976,-100,9200,1
662,739,706,13500,-228,8644,1
662,739,706,13132,-88,9308,1
662,739,706,13452,132,9464,1
662,739,706,13272,328,9180,1
662,739,707,14180,504,8932,1
662,738,707,13816,1168,8620,1
662,738,707,13996,760,9000,1
662,738,707,13580,760,8664,1
662,738,707,13876,928,8764,1
662,738,707,13832,748,9112,1
662,738,706,13896,936,8272,1
662,738,707,14084,-140,9312,1
662,738,707,13748,424,8584,1
662,738,706,14128,916,8660,1
662,738,707,13840,192,8376,1
662,738,707,14472,172,8408,1
662,738,706,13696,-308,7768,1
662,737,704,14440,-980,8584,1
662,738,705,14320,-1272,8208,1
662,738,705,14644,-1644,7864,1
662,738,706,14216,-2044,9152,1
662,738,706,13416,-1612,9504,1
662,738,707,11644,-2220,11240,1
662,738,707,8840,-2456,13560,1
662,738,704,6044,-2696,14696,1
662,738,704,4556,-3432,14720,1
661,738,704,3968,-2964,14740,1
661,738,703,3624,-2660,15452,1
662,738,704,3732,-3372,15464,1
661,738,702,3072,-2244,15380,1
661,738,704,2260,-1952,15812,1
662,738,704,1864,-2264,15344,1
662,738,703,1804,-3064,15160,1
662,738,704,932,-2764,15916,1
662,738,704,1180,-3112,15540,1
662,738,704,1668,-3736,15608,1
662,737,702,964,196,12816,1
662,738,705,2556,-3612,15336,1
661,737,706,2312,-3200,14716,1
662,738,706,2660,-3380,15432,1
662,737,707,3584,-1860,15484,1
662,737,706,3896,-1756,15128,1
662,738,705,3876,-1832,15772,1
662,738,705,3952,-1080,15396,1
662,737,705,4048,-1268,15800,1
662,737,705,4180,-712,14972,1
662,737,705,4824,-796,15424,1
662,737,706,4892,-872,15068,1
662,737,705,5300,-932,15064,1
662,737,705,5152,-660,14980,1
662,737,705,5424,-884,14856,1
662,737,705,5464,-372,15460,1
662,738,705,5344,-420,15224,1
662,737,705,5492,428,14168,1
662,737,705,6808,-532,14256,1
663,737,704,6564,-1492,13356,1
662,737,706,6700,-1724,15360,1
662,737,705,7436,-2044,14852,1
662,737,704,7392,-2328,14072,1
662,737,705,7560,-2184,13780,1
662,737,705,7500,-1980,14268,1
662,737,705,6724,-1692,14892,1
662,737,705,6320,-1232,15000,1
662,737,706,5804,-1208,15132,1
662,737,707,5860,-1928,15164,1
662,737,706,7372,-2236,14964,1
662,738,706,7880,-1840,13860,1
662,738,706,8136,-2248,13152,1
662,738,705,8284,-2600,13220,1
662,737,706,8636,-3096,13572,1
662,737,705,8656,-3108,13520,1
662,738,705,8444,-3120,13340,1
662,738,706,7936,-3208,13764,1
662,738,705,7828,-3260,14136,1
662,738,705,7084,-3040,14032,1
662,738,706,6952,-3188,14152,1
662,738,706,6408,-3308,14092,1
662,738,707,5696,-3432,14820,1
662,738,704,3924,-1928,14580,1
662,738,704,3572,-2700,15740,1
662,737,704,4052,-1356,15412,1
661,737,704,4276,-1744,15316,1
662,738,704,4100,-720,15288,1
662,737,704,4084,-776,15456,1
662,737,704,4524,-632,15288,1
662,737,703,4492,-516,15388,1
662,737,704,4332,-600,15076,1
662,737,705,4324,-412,15260,1
662,737,704,5452,1788,14448,1
662,737,705,6196,3660,14688,1
662,737,705,6596,4008,14120,1
662,737,704,7232,3456,13232,1
662,737,704,9412,3420,11748,1
662,737,704,11984,3332,10876,1
662,737,704,12832,2368,10224,1
662,737,705,13852,2048,8608,1
662,737,705,14648,1088,6964,1
662,737,705,15072,628,6948,1
662,737,704,15824,-696,4956,1
662,737,704,15572,-2368,4260,1
662,737,704,16016,-3212,3776,1
662,737,704,15412,-4796,3612,1
662,737,704,15132,-6420,3412,1
662,737,704,14820,-6336,3688,1
662,737,704,15376,-6736,3520,1
662,737,704,15464,-5976,2984,1
