THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
920,914,866,16864,-723,-4901,7
853,910,912,15917,3492,-6345,2
884,803,916,17987,120,-2227,6
889,861,862,15833,7395,-429,3
920,913,861,17068,-1417,-5319,7
887,877,876,14632,2205,-3547,3
868,917,917,7693,-13289,-6345,8
873,850,861,12065,-6820,-4255,3
842,914,907,15400,-2657,-6425,8
829,822,855,15851,1684,-6469,5
885,917,871,17377,3335,-4272,4
921,812,830,16773,3160,-5816,1
889,917,879,16104,4016,-6075,4
829,835,916,17784,-891,-3469,6
869,919,916,8509,-13691,-5788,8
877,798,848,16476,2399,-6481,5
879,863,861,16220,2244,-3633,3
922,810,828,16748,3100,-5492,1
885,916,870,17375,3335,-4271,4
864,918,919,17200,1291,-3547,2
869,846,859,16228,3611,-5693,3
868,917,918,7257,-12905,-5780,8
865,841,849,15687,2960,-6833,3
866,918,916,7900,-13703,-6811,8
921,811,831,16772,3161,-5816,1
823,822,854,10183,9567,-6927,5
918,915,863,16520,-1233,-5381,7
868,917,918,7413,-12148,-6035,8
819,834,914,16259,-704,-1927,6
918,913,864,16481,-723,-4881,7
886,915,872,17376,3335,-4271,4
870,916,854,15725,4296,-5335,4
866,843,851,15659,3085,-6309,3
895,863,860,15348,4663,-9019,3
867,813,852,15899,3024,-5716,5
867,845,852,15659,3083,-6308,3
918,915,864,16481,-725,-4881,7
843,914,907,15401,-2656,-6425,8
852,826,915,18284,-312,-4668,6
874,850,862,12063,-6819,-4257,3
850,916,919,16036,73,-6461,2
890,916,881,16104,4017,-6075,4
867,917,916,7901,-13704,-6811,8
878,916,859,16812,28,-4972,4
847,916,904,18073,684,-5724,2
907,911,857,16392,373,-2585,6
856,919,905,16499,2160,-7617,2
830,819,853,15809,2463,-6132,5
841,917,901,15611,1571,-4459,2
922,810,828,16749,3101,-5493,1
831,819,853,15807,2464,-6133,5
867,919,918,6944,-13203,-6633,8
884,917,870,15024,5008,-7781,4
868,917,918,7693,-13289,-6344,8
920,808,828,16111,3595,-4761,1
870,917,917,8144,-11891,-6245,8
888,916,880,16104,4015,-6075,4
874,850,860,12063,-6820,-4257,3
863,916,918,16235,2291,-963,2
888,916,879,16105,4017,-6077,4
896,822,875,15673,1195,-4361,5
854,911,913,15915,3493,-6344,2
833,819,854,15136,1996,-6291,5
857,917,917,12851,7021,-10595,2
922,811,829,16392,3145,-4409,1
921,811,828,16749,3099,-5491,1
840,820,854,16445,-1124,-5980,5
867,845,854,16313,2619,-5531,3
879,821,916,18153,751,-2853,6
873,849,861,12065,-6819,-4257,3
895,862,862,15347,4663,-9020,3
857,844,916,17168,1453,-363,6
902,896,854,16365,-1471,-5632,6
870,915,854,16189,3269,-6127,4
866,918,918,6945,-13203,-6633,8
852,821,854,14628,2175,-4035,5
851,822,854,14629,2177,-4036,5
829,819,855,15809,2464,-6131,5
862,916,918,17200,1292,-3549,2
864,919,916,6639,-13319,-7152,8
868,918,918,8131,-13601,-6392,8
857,918,921,16892,316,-7567,2
897,824,875,15673,1197,-4360,5
837,837,915,18295,-189,-3273,6
867,841,850,15688,2961,-6831,3
904,917,887,14927,-979,-6133,8
891,858,861,15449,4795,-6716,3
867,917,918,6945,-13203,-6631,8
861,834,841,16639,3891,-7351,3
892,858,862,15447,4797,-6717,3
861,918,918,17941,1817,308,2
876,798,848,16477,2399,-6479,5
904,878,897,19225,536,-4553,5
903,878,898,19224,536,-4552,5
874,852,861,15017,-5128,-7941,3
869,917,916,7411,-12148,-6037,8
835,836,914,18220,-976,-1623,6
904,915,887,14928,-979,-6133,8
862,918,917,16451,3179,-1303,2
870,916,855,16188,3268,-6129,4
887,877,876,14631,2205,-3548,3
867,918,917,7900,-13704,-6812,8
904,915,887,14927,-979,-6131,8
888,876,875,14632,2203,-3548,3
863,833,841,16640,3893,-7353,3
903,912,864,18185,2425,-2967,4
922,811,828,16748,3100,-5492,1
918,913,863,16480,-724,-4879,7
908,875,869,15387,1337,-5021,3
908,874,871,15389,1336,-5021,3
861,917,918,16451,3179,-1304,2
920,916,865,17169,-1105,-5731,7
884,885,909,17223,237,-2531,6
868,919,918,6944,-13203,-6632,8
920,810,830,15977,3197,-4376,1
874,917,854,15660,6335,-3879,4
892,860,863,15448,4795,-6715,3
843,839,914,17451,639,-3220,6
869,919,916,7693,-13287,-6345,8
863,834,839,16640,3891,-7351,3
922,811,828,15977,3195,-4376,1
877,915,859,18076,-2164,-5752,4
871,917,854,15724,4296,-5336,4
920,813,831,16391,3145,-4407,1
835,821,848,16211,4819,-4852,5
856,917,905,16499,2161,-7615,2
869,844,854,16311,2621,-5531,3
869,917,918,8509,-13692,-5788,8
862,918,917,17941,1817,308,2
862,917,918,17200,1292,-3547,2
872,916,855,15725,4296,-5337,4
920,813,830,16771,3159,-5815,1
819,833,915,16259,-704,-1928,6
898,824,877,15672,1197,-4360,5
876,916,867,15599,2765,-5988,4
918,915,865,16863,-723,-4901,7
896,823,875,15672,1195,-4361,5
861,916,919,18609,1767,-1005,2
842,916,908,15399,-2655,-6423,8
919,916,867,17169,-1103,-5733,7
831,822,854,16693,885,-5004,5
829,822,856,15851,1683,-6467,5
861,918,918,18607,1768,-1005,2
904,878,898,19224,535,-4551,5
918,914,863,16789,-1165,-5216,7
870,917,918,8132,-13599,-6392,8
868,841,848,16415,2719,-6535,3
830,822,855,16692,883,-5004,5
862,833,841,16640,3891,-7353,3
835,818,848,16665,3735,-2560,5
920,811,829,16391,3144,-4409,1
880,915,864,14863,3251,-7255,4
889,915,880,16105,4017,-6075,4
866,838,847,15163,2755,-6324,3
865,841,849,15689,2960,-6832,3
831,836,914,17783,-892,-3468,6
864,882,848,16987,-604,-5419,6
920,811,831,16123,3365,-4137,1
921,810,827,16295,3048,-6219,1
883,803,916,17989,120,-2229,6
870,917,916,8699,-13149,-6385,8
921,813,830,16393,3144,-4407,1
857,916,921,16891,315,-7568,2
870,918,916,7692,-13289,-6344,8
904,862,915,17379,788,-3681,6
825,820,851,10965,4052,-12741,5
865,838,848,15163,2757,-6325,3
860,918,918,17628,1227,-201,2
839,837,916,18297,-188,-3271,6
919,914,865,16520,-1232,-5379,7
919,916,867,16977,-865,-5907,7
920,915,864,16479,-725,-4880,7
885,915,869,15024,5008,-7779,4
909,911,857,16393,373,-2583,6
869,917,918,8132,-13600,-6393,8
921,812,830,16393,3145,-4408,1
866,840,850,16501,3007,-6128,3
853,916,916,15131,2392,-5245,2
867,841,850,16501,3007,-6127,3
839,838,914,16917,472,-1507,6
871,918,854,15723,4295,-5335,4
867,834,859,16805,1788,-4003,5
891,860,860,15831,7395,-428,3
867,844,851,15660,3084,-6308,3
840,836,915,16915,472,-1509,6
889,917,868,16120,1180,-5164,4
902,897,854,16364,-1472,-5632,6
835,818,849,16663,3735,-2559,5
862,916,918,18609,1768,-1005,2
851,826,915,18283,-312,-4668,6
882,806,917,17139,365,-3524,6
922,812,831,16124,3363,-4136,1
828,836,916,15928,745,-1845,6
869,846,859,16227,3612,-5693,3
849,918,919,16037,71,-6459,2
921,807,827,16053,3681,-4476,1
853,916,917,16041,-1793,-3744,2
904,878,898,19223,535,-4553,5
875,916,856,15660,6335,-3881,4
879,822,916,18151,752,-2852,6
878,917,863,14863,3253,-7257,4
896,823,877,15671,1197,-4361,5
866,839,848,15164,2756,-6323,3
830,822,856,15853,1684,-6469,5
863,917,917,17256,1835,-2065,2
920,915,867,16865,-723,-4901,7
819,835,915,16259,-705,-1929,6
859,919,917,9335,-16048,-8560,8
861,916,919,18609,1769,-1004,2
819,834,915,16261,-705,-1927,6
850,822,854,14628,2177,-4037,5
879,838,917,16601,491,-1960,6
870,919,916,8700,-13148,-6385,8
890,917,881,16103,4016,-6075,4
867,843,852,15660,3084,-6307,3
843,837,916,18355,-467,-4059,6
856,916,919,12853,7020,-10597,2
872,850,862,12064,-6820,-4255,3
918,916,865,16520,-1232,-5380,7
830,836,914,17785,-891,-3467,6
919,914,863,16787,-1163,-5216,7
881,839,916,16599,493,-1961,6
842,838,916,17451,640,-3220,6
866,919,916,6641,-13320,-7152,8
921,809,828,15975,3196,-4375,1
922,810,828,15975,3196,-4377,1
869,918,917,7663,-13067,-6055,8
838,816,854,15697,2473,-7217,5
889,917,868,16119,1180,-5164,4
882,887,910,17225,236,-2532,6
920,914,863,16479,-725,-4879,7
861,918,918,16235,2293,-965,2
835,819,848,16647,3725,-3465,5
868,844,853,16312,2619,-5533,3
852,918,918,16039,-1793,-3745,2
899,863,862,17307,1972,-5975,3
904,917,886,14927,-980,-6132,8
837,815,853,15695,2472,-7215,5
864,917,916,6641,-13320,-7153,8
856,918,921,16893,316,-7567,2
850,822,855,14628,2176,-4037,5
869,846,852,16153,2644,-5993,3
862,916,917,17201,1291,-3548,2
860,917,917,18608,1768,-1003,2
867,917,916,7900,-13703,-6813,8
822,821,855,10183,9569,-6927,5
919,913,865,16480,-723,-4880,7
918,913,863,17401,-1644,-5744,7
882,807,917,17139,364,-3523,6
867,917,916,6945,-13203,-6632,8
856,915,917,12852,7020,-10596,2
874,915,867,15600,2763,-5987,4
840,819,854,16443,-1124,-5981,5
843,915,907,15400,-2655,-6424,8
921,810,829,16749,3101,-5493,1
879,820,917,18153,752,-2853,6
833,820,855,15137,1996,-6293,5
861,917,918,16452,3180,-1303,2
901,862,860,17307,1971,-5976,3
865,918,917,8025,-13825,-6996,8
902,878,899,19225,536,-4552,5
874,853,860,15015,-5127,-7941,3
868,919,918,6943,-13203,-6633,8
865,918,917,8025,-13825,-6995,8
860,918,919,17627,1229,-199,2
919,916,867,17167,-1103,-5733,7
829,821,855,15851,1683,-6468,5
836,837,914,18219,-977,-1623,6
844,837,914,17453,641,-3219,6
878,820,918,18152,753,-2853,6
921,810,829,16297,3047,-6219,1
869,843,850,16416,2719,-6536,3
852,911,914,15915,3491,-6345,2
838,816,853,15696,2471,-7215,5
922,810,828,16113,3595,-4759,1
852,918,917,16039,-1792,-3745,2
867,813,852,15901,3025,-5716,5
858,915,917,12853,7020,-10597,2
864,916,918,17201,1292,-3549,2
