THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
829,918,913,16196,-1744,-2020,2
830,918,912,16244,-984,-1192,2
832,917,912,15228,-7888,-1520,2
830,917,912,16716,-2956,4236,2
829,917,912,16568,-2220,3276,2
831,917,912,16532,-1584,2812,2
831,917,912,16436,-1608,2712,2
833,917,912,18140,600,-1384,2
830,917,912,15604,-4028,-4968,2
831,917,912,15308,-3288,-4956,2
831,917,912,15520,-1796,-4192,2
830,916,912,15104,-1836,-4280,2
836,917,912,10224,-48,-15820,2
836,917,912,10848,2928,-10580,2
836,917,912,8984,-1708,-10560,2
833,917,912,16748,-2528,-2908,2
833,917,912,16576,-1264,-1764,2
835,918,912,17316,1188,-572,2
836,918,912,16312,-264,-1064,2
836,918,913,16572,-148,-1084,2
836,918,912,15896,-7920,-132,2
835,918,913,15296,-4996,1008,2
838,919,914,16144,-3724,4020,2
837,919,913,16324,-3672,4228,2
836,918,913,16256,-4072,4524,2
825,918,913,16284,-4264,3868,2
831,918,913,16140,-3120,-4876,2
836,918,913,15260,-3096,-3256,2
843,919,913,15628,-3344,-4008,2
845,918,913,14936,-6104,-4880,2
819,918,913,13208,-4188,-4460,2
821,918,913,15456,-5228,-4388,2
822,917,913,14476,-6052,-4008,2
825,918,913,16120,-9080,2908,2
814,918,913,15140,-6416,2332,2
826,918,913,14780,-7648,1804,2
838,918,912,16252,-6712,-132,2
855,917,912,16608,-5648,3328,2
830,918,912,14572,-8396,3052,2
813,918,912,16324,-5472,1656,2
816,918,912,15488,-7336,4456,2
817,918,912,15660,-1044,2376,2
816,917,911,16588,-3436,2224,2
810,917,912,15760,-4348,2316,2
811,917,911,16668,-4648,2084,2
810,917,911,15140,-4288,2756,2
816,917,911,16960,-4608,2104,2
835,916,911,15940,-6844,804,2
816,916,911,14868,-6096,516,2
817,916,912,15668,-6376,792,2
818,915,911,16036,-5752,520,2
820,916,911,15348,-4852,16,2
820,915,911,16240,-4684,68,2
818,916,911,16116,-2356,-168,2
822,916,910,16004,-3844,2124,2
822,916,911,16360,-2372,296,2
822,916,911,16732,-2712,1296,2
823,916,911,16152,-2804,1896,2
821,917,912,16648,-1496,-2676,2
823,918,912,13276,256,-6236,2
823,918,912,15516,-2540,4136,2
820,916,911,16348,-5856,-432,2
822,917,911,18212,2872,-3184,3
826,917,911,14540,-3620,-5152,3
888,863,834,14804,-5044,-3748,3
860,850,823,15768,-5272,-1648,3
858,852,826,14424,-5732,-4796,3
854,856,831,15384,-6040,-2108,3
854,858,833,12976,-2156,-5440,3
853,859,835,14440,-4600,-5576,3
853,859,835,15036,-4696,-5280,3
853,861,837,14840,-4448,-4928,3
856,867,843,13376,-4636,-4400,3
863,871,850,12576,-5060,-5852,3
861,873,852,13976,-5396,-6212,3
861,873,853,13480,-5508,-5484,3
860,874,853,13960,-6092,-6236,3
857,872,851,12384,-6900,-9552,3
855,872,851,10116,-2200,-10968,3
851,871,848,12432,-4008,-8500,3
850,871,853,12336,-4716,-8304,3
848,868,856,12628,-4904,-8552,3
847,868,853,13536,-2308,-6740,3
849,867,855,15396,-2716,-6216,3
851,868,855,14588,-2372,-12980,3
849,869,855,16388,-40,-3628,3
847,870,856,15040,-3080,-3876,3
841,867,852,15244,-10592,1976,3
839,870,853,13608,-2932,-7304,3
839,871,854,14416,5616,696,3
839,870,851,14428,-7708,6280,3
839,871,851,14460,-5596,5540,3
840,871,851,14912,-6084,5144,3
840,871,850,15072,-5152,4844,3
839,871,850,14772,-11900,5560,3
838,872,852,16052,-2188,-3204,3
842,874,853,15776,-3052,-5932,3
842,873,855,15928,-3956,-3124,3
842,872,857,13628,-1712,-7632,3
857,878,855,13272,3324,-7240,3
862,875,852,16400,-4772,-4460,3
867,871,847,16084,-3412,-4116,3
864,872,848,14028,-4792,-5520,3
862,872,849,14836,-4496,-5416,3
862,873,849,14772,-3516,-4756,3
862,873,850,15396,-4040,-4096,3
861,873,850,16204,-3404,-3420,3
861,873,850,15528,-4084,-2504,3
861,873,850,15480,-3668,-3216,3
860,873,851,15524,-3956,-3580,3
859,873,852,16072,1224,-5396,3
859,874,853,12140,7072,-11744,3
858,870,851,8248,9548,-6268,3
860,874,854,10068,15208,-1772,3
858,872,853,11928,2028,-10332,3
854,874,855,16480,-4544,100,3
848,872,852,16184,-1724,6968,3
850,872,852,15392,-1384,6252,3
855,873,853,12632,1340,-1180,3
854,877,856,15884,-4352,-1992,3
855,877,856,16180,-1980,-2204,3
855,877,857,14500,-4472,-2860,3
855,877,856,16056,824,-868,3
854,878,856,16496,1964,192,3
854,878,857,15884,-1912,-1748,3
854,877,857,15804,-5636,-3248,3
854,877,856,15768,-3736,-3400,3
854,877,857,15884,-4320,-2144,3
851,878,857,16632,-4916,-700,3
853,878,858,16452,-5100,1804,3
841,877,858,16492,-1904,8508,3
840,879,859,16020,-4328,5052,3
848,878,859,14348,-4520,9852,3
850,879,859,8668,-5696,17808,3
850,879,859,14916,-2684,-2640,3
850,879,858,13792,-1068,-7280,3
851,879,858,7220,768,-15068,3
852,880,859,9976,1028,-11500,3
853,880,859,15056,-1280,-4700,3
853,880,859,15064,-6020,-1192,3
854,880,859,15048,-4720,-864,3
851,868,848,16480,-3780,-300,3
852,870,850,16168,-4232,-540,3
853,872,852,16004,-4492,396,3
853,872,851,16136,-3656,-392,3
853,873,852,16480,-4320,540,3
853,873,851,15948,-4080,-416,3
853,873,851,16068,-3876,316,3
853,876,856,15180,-4760,-2428,3
853,876,859,19640,2844,-1256,3
852,878,861,15608,-2368,-5460,3
866,888,878,15176,-3676,-5900,3
864,888,874,15244,-3360,-5056,3
839,889,874,14568,-6096,-6328,3
845,871,854,15628,-3844,-4900,3
855,866,849,14584,-4560,-4092,3
858,870,853,15432,-5556,-2668,3
856,872,854,16172,-2456,-1232,3
855,872,855,16468,-3772,-1200,3
854,873,855,16480,-2128,140,3
854,873,855,16160,-3980,-3472,3
854,873,856,15168,-8044,-3352,3
853,874,856,12264,-7612,-3796,3
856,877,859,18396,608,-2260,3
855,877,859,16588,-312,-2644,3
851,877,859,15128,572,-656,3
847,874,855,18796,4632,2344,3
846,875,854,12428,-7276,2052,3
845,875,855,17704,-6736,5632,3
844,876,857,15600,3696,2684,3
847,877,857,17188,-3352,-144,3
848,878,857,16652,-1268,-1296,3
849,878,857,15860,-388,-1432,3
849,878,857,15808,-4148,-2564,3
849,877,857,15272,-6292,-4380,3
849,879,857,13836,5632,-644,3
849,878,858,15392,-2636,-920,3
849,877,861,16524,-3532,-1212,3
849,878,860,16664,-6372,-2332,3
857,882,861,15628,-4984,-1848,3
857,882,862,15708,-2872,-1896,3
856,883,862,15408,-2892,-2064,3
855,884,861,15776,-3308,-2204,4
856,884,858,15316,-3488,-2012,4
869,917,852,14844,-11440,-1636,4
877,920,855,15308,-6280,-1324,4
869,920,845,15296,-6516,-764,4
865,920,847,15220,-7224,-632,4
865,920,853,16304,-1704,1820,4
867,920,845,15484,-2312,-1608,4
866,920,847,16752,-3076,-1244,4
866,920,848,16136,-3352,-1268,4
864,920,845,15840,-4296,-1484,4
850,920,844,15820,-4672,-2636,4
852,920,846,16052,-5224,-2332,4
853,920,846,15512,-4612,-3016,4
853,920,847,14328,-3548,-1516,4
856,920,848,15020,-4528,-3512,4
856,920,848,14744,-2516,-4916,4
856,920,848,14236,-3196,-3200,4
857,920,848,14748,-152,-2992,4
857,922,849,16328,-3180,-1368,4
857,922,849,16344,-3140,-2808,4
857,921,851,15600,-3808,-3960,4
857,921,851,14332,-4960,-3048,4
857,921,851,14916,-4784,-5976,4
855,921,850,14856,-6908,-3184,4
857,921,851,13656,-5356,-3904,4
857,921,851,14412,-7032,-4064,4
850,920,850,16936,-3692,1632,4
854,920,853,14788,-2552,-5852,4
854,919,853,14380,-88,-7636,4
856,919,853,13044,-5144,-3420,4
854,919,853,15760,-3500,-3140,4
852,919,854,14668,-7420,-2932,4
853,919,854,14348,-8572,-2068,4
853,919,854,12096,-1784,-4168,4
854,918,855,16032,-464,28,4
854,919,856,15040,-3112,-4664,4
854,918,856,15532,-3804,-5672,4
855,918,854,8028,-3384,-11100,4
856,918,855,1988,-8696,-13284,4
856,918,856,11580,-5804,-8060,4
854,919,855,15164,-2860,1384,4
854,919,854,16244,-3868,5808,4
853,918,855,14216,-3196,6696,4
854,918,856,15264,-2492,6996,4
854,917,855,15212,-3028,6568,4
854,917,855,16512,-3196,6304,4
854,917,855,16228,-3228,5316,4
855,918,856,15128,-13336,1844,4
855,918,857,9764,-7220,-9916,4
855,918,857,1216,4524,-13968,4
854,918,857,2876,728,-14832,4
856,919,857,14572,-2728,-6712,4
855,919,856,16892,-1956,3576,4
855,918,856,13168,-4772,10724,4
853,917,855,10280,-56,16764,4
854,917,855,12828,2804,11940,4
853,917,855,12528,-13068,4076,4
854,917,855,11884,-11288,3252,4
854,917,856,13580,-7676,3596,4
854,917,856,14852,7952,-596,4
853,916,855,13020,6824,-1304,4
853,917,855,13696,9156,-1080,4
854,917,855,13736,5420,-2164,4
854,917,856,16904,4100,1676,4
856,918,857,17580,-80,-2004,4
856,918,858,16420,860,-2756,4
854,918,858,15556,-1228,-2080,4
859,920,855,14232,-3592,-4508,4
837,917,835,16984,-2264,-2800,4
832,914,832,15428,-3460,-2900,4
834,916,836,16168,-2112,-1932,4
837,916,839,16244,-2532,-1152,4
838,916,839,16184,-2716,-1760,4
838,917,840,16456,-2500,-1892,4
853,917,849,16884,-1736,-1008,4
860,917,857,15992,-3552,208,4
852,917,858,17504,-2332,5244,4
856,918,859,15540,-4204,2028,4
860,919,861,16644,-3768,1812,4
863,919,861,17216,-2644,1852,4
863,919,862,15516,-3124,592,4
863,919,861,15116,-1460,1260,4
863,919,861,16344,-4460,2804,4
861,918,859,11192,-3444,-11472,4
865,918,862,16016,-2736,-5084,4
865,918,862,13724,-3612,-8008,4
865,918,862,14588,-3804,-5028,4
864,918,862,15576,-2180,-1060,4
864,918,862,16084,-3796,820,4
864,918,862,16548,-4068,704,4
864,918,862,16176,-4236,220,4
864,918,862,15884,-3416,-3124,4
863,918,862,16352,-4696,3872,4
863,918,862,15740,-2984,3048,4
863,918,862,16908,-4196,3148,4
864,918,861,16784,-36,-2708,4
865,919,862,16176,-384,-3968,4
865,918,860,15360,-856,-5668,4
865,918,860,14404,-284,-4384,4
865,918,860,15900,-160,-4476,4
868,918,851,14952,-2084,-5352,4
866,917,849,15700,-1112,-4036,4
855,916,845,14732,-3096,-5644,4
851,917,846,15608,-3884,-5556,4
869,917,857,16860,-4528,-724,4
871,918,860,16744,-944,1740,4
871,918,860,16712,-2096,384,4
871,918,860,16024,-2072,1528,4
870,917,859,16608,-1760,1168,4
870,917,860,16344,1576,2436,4
870,918,859,16072,-1968,1572,4
870,918,859,16316,-2400,2592,4
870,917,859,16964,-2084,2180,4
870,917,859,16636,-2304,2256,4
870,917,859,16576,-2172,2060,4
871,918,857,17540,-1920,1656,4
870,918,858,14736,-4884,8204,4
871,918,858,15956,-2976,3548,4
865,907,876,15944,-3980,3228,4
833,881,893,15732,-3044,24,5
858,836,856,17364,56,568,5
838,801,809,16176,-2436,4372,5
820,825,838,14968,-5848,216,5
821,829,841,16160,-5040,108,5
824,822,831,16428,-3772,892,5
827,817,821,16092,-5092,1108,5
830,821,826,16128,-2812,2496,5
825,820,822,16452,-5200,544,5
825,821,823,16192,-4040,-1048,5
828,822,823,15916,-5016,128,5
829,822,823,14888,-9088,156,5
